Time_min,Amp_Factor,Amp_Numeric,Min_Core_O2
7.666666666666667,250x,250,7.9937625
7.75,250x,250,8.038445
7.833333333333333,250x,250,8.081327
7.916666666666667,250x,250,8.122185
8.0,250x,250,8.161222
8.083333333333334,250x,250,8.198299
8.166666666666666,250x,250,8.233537
8.25,250x,250,8.267148
8.333333333333334,250x,250,8.299185
8.416666666666666,250x,250,8.329665
8.5,250x,250,8.358933
8.583333333333334,250x,250,8.386763
8.666666666666666,250x,250,8.413216
8.75,250x,250,8.438442
8.833333333333334,250x,250,8.462453
8.916666666666666,250x,250,8.485252
9.0,250x,250,8.507048
9.083333333333334,250x,250,8.527907
9.166666666666666,250x,250,8.547674
9.25,250x,250,8.566701
9.333333333333334,250x,250,8.584663
9.416666666666666,250x,250,8.601665
9.5,250x,250,8.617893
9.583333333333334,250x,250,8.633253
9.666666666666666,250x,250,8.647885
9.75,250x,250,8.661917
9.833333333333334,250x,250,8.675112
9.916666666666666,250x,250,8.687652
0.0,500x,500,9.985136
0.08333333333333333,500x,500,0.0
0.16666666666666666,500x,500,0.0
0.25,500x,500,0.0
0.3333333333333333,500x,500,0.0
0.4166666666666667,500x,500,0.0
0.5,500x,500,0.0
0.5833333333333334,500x,500,0.0
0.6666666666666666,500x,500,0.0
0.75,500x,500,0.0
0.8333333333333334,500x,500,0.0
0.9166666666666666,500x,500,0.0
1.0,500x,500,0.0
1.0833333333333333,500x,500,0.0
1.1666666666666667,500x,500,0.0
1.25,500x,500,0.0
1.3333333333333333,500x,500,0.0
1.4166666666666667,500x,500,0.0
1.5,500x,500,0.0
1.5833333333333333,500x,500,0.0
1.6666666666666667,500x,500,0.0
1.75,500x,500,0.0
1.8333333333333333,500x,500,0.0
1.9166666666666667,500x,500,0.0
2.0,500x,500,0.0
2.0833333333333335,500x,500,0.0
2.1666666666666665,500x,500,0.0
2.25,500x,500,0.0
2.3333333333333335,500x,500,0.0
2.4166666666666665,500x,500,0.0
2.5,500x,500,0.0
2.5833333333333335,500x,500,0.0
2.6666666666666665,500x,500,0.0
2.75,500x,500,0.0
2.8333333333333335,500x,500,0.0
2.9166666666666665,500x,500,0.0
3.0,500x,500,1.4844101e-05
3.0833333333333335,500x,500,0.00018542203
3.1666666666666665,500x,500,0.00093241764
3.25,500x,500,0.003198266
3.3333333333333335,500x,500,0.005878508
3.4166666666666665,500x,500,0.011925656
3.5,500x,500,0.024689395
3.5833333333333335,500x,500,0.0488532
3.6666666666666665,500x,500,0.08697662
3.75,500x,500,0.13125947
3.8333333333333335,500x,500,0.19809139
3.9166666666666665,500x,500,0.28994843
4.0,500x,500,0.4059072
4.083333333333333,500x,500,0.54225194
4.166666666666667,500x,500,0.69403505
4.25,500x,500,0.8564856
4.333333333333333,500x,500,1.0257707
4.416666666666667,500x,500,1.1991662
4.5,500x,500,1.3749771
4.583333333333333,500x,500,1.5522053
4.666666666666667,500x,500,1.7302818
4.75,500x,500,1.908836
4.833333333333333,500x,500,2.087537
4.916666666666667,500x,500,2.2660468
5.0,500x,500,2.4439027
5.083333333333333,500x,500,2.620644
5.166666666666667,500x,500,2.7957773
5.25,500x,500,2.9687655
5.333333333333333,500x,500,3.1392462
5.416666666666667,500x,500,3.3068907
5.5,500x,500,3.4714248
5.583333333333333,500x,500,3.6326468
5.666666666666667,500x,500,3.7904243
5.75,500x,500,3.9445963
5.833333333333333,500x,500,4.0950727
5.916666666666667,500x,500,4.241722
6.0,500x,500,4.384496
6.083333333333333,500x,500,4.5233207
6.166666666666667,500x,500,4.6581507
6.25,500x,500,4.7889714
6.333333333333333,500x,500,4.91574
6.416666666666667,500x,500,5.038492
6.5,500x,500,5.157205
6.583333333333333,500x,500,5.271981
6.666666666666667,500x,500,5.3828225
6.75,500x,500,5.4897738
6.833333333333333,500x,500,5.592921
6.916666666666667,500x,500,5.6922903
7.0,500x,500,5.78802
7.083333333333333,500x,500,5.880145
7.166666666666667,500x,500,5.9687815
7.25,500x,500,6.0539784
7.333333333333333,500x,500,6.135747
7.416666666666667,500x,500,6.214321
7.5,500x,500,6.289727
7.583333333333333,500x,500,6.3621073
7.666666666666667,500x,500,6.431525
7.75,500x,500,6.4980884
7.833333333333333,500x,500,6.561882
7.916666666666667,500x,500,6.6230373
8.0,500x,500,6.681391
8.083333333333334,500x,500,6.736976
8.166666666666666,500x,500,6.7902446
8.25,500x,500,6.8412304
8.333333333333334,500x,500,6.8900423
8.416666666666666,500x,500,6.9367414
8.5,500x,500,6.981398
8.583333333333334,500x,500,7.0242186
8.666666666666666,500x,500,7.065161
8.75,500x,500,7.104348
8.833333333333334,500x,500,7.1418014
8.916666666666666,500x,500,7.177635
9.0,500x,500,7.2118855
9.083333333333334,500x,500,7.24464
9.166666666666666,500x,500,7.275915
9.25,500x,500,7.3057394
9.333333333333334,500x,500,7.3343635
9.416666666666666,500x,500,7.3615007
9.5,500x,500,7.387417
9.583333333333334,500x,500,7.412062
9.666666666666666,500x,500,7.4355464
9.75,500x,500,7.4578843
9.833333333333334,500x,500,7.4792027
9.916666666666666,500x,500,7.499395
0.0,1000x,1000,9.970273
0.08333333333333333,1000x,1000,0.0
0.16666666666666666,1000x,1000,0.0
0.25,1000x,1000,0.0
0.3333333333333333,1000x,1000,0.0
0.4166666666666667,1000x,1000,0.0
0.5,1000x,1000,0.0
0.5833333333333334,1000x,1000,0.0
0.6666666666666666,1000x,1000,0.0
0.75,1000x,1000,0.0
0.8333333333333334,1000x,1000,0.0
0.9166666666666666,1000x,1000,0.0
1.0,1000x,1000,0.0
1.0833333333333333,1000x,1000,0.0
1.1666666666666667,1000x,1000,0.0
1.25,1000x,1000,0.0
1.3333333333333333,1000x,1000,0.0
1.4166666666666667,1000x,1000,0.0
1.5,1000x,1000,0.0
1.5833333333333333,1000x,1000,0.0
1.6666666666666667,1000x,1000,0.0
1.75,1000x,1000,0.0
1.8333333333333333,1000x,1000,0.0
1.9166666666666667,1000x,1000,0.0
2.0,1000x,1000,0.0
2.0833333333333335,1000x,1000,0.0
2.1666666666666665,1000x,1000,0.0
2.25,1000x,1000,0.0
2.3333333333333335,1000x,1000,0.0
2.4166666666666665,1000x,1000,0.0
2.5,1000x,1000,0.0
2.5833333333333335,1000x,1000,0.0
